method_id,config_id,input_patch_bits,direct_preserved_input_bits,state_width,state_bits_per_value,state_storage_bits_per_token,tokens,heads,qk_bits,topk,trainable_parameters,hard_payload_bits,gate_count,logic_depth,fanout_max,capacity_note
dlgn_2input,w128_d4,,,128,1,128,,,,,,,512,4,,"one output bit per gate; fixed random fan-in"
dlgn_anneal,w128_d4,,,128,1,128,,,,,,,512,4,,"same capacity as DLGN; schedule changes optimization only"
gumbel_st_lgn,w128_d4,,,128,1,128,,,,,,,512,4,,"same capacity as DLGN; Gumbel-ST changes the estimator only"
block_hard_refit,w128_d4,,,128,1,128,,,,,,,512,4,,"same topology as DLGN; refit changes tables not capacity"
block_task_refit,w128_d4,,,128,1,128,,,,,,,512,4,,"same topology as DLGN; task-aware refit changes selection only"
lightlogic_iwp_st,w128_d4,,,128,1,128,,,,,,,512,4,,"four truth parameters per two-input gate versus sixteen for OP"
full_k_count,k16,,,128,5,640,,,,,,,,,,"K16 exposes 17 count levels; exact width depends on captured expansion row"
direct_lut_b3,w800_d3,,,800,1,800,,,,,,,7200,3,,"larger local truth tables improve basis at higher synthesis cost"
bitstate_progressive,w4096_d2d2,192,192,4096,1,4096,65,8,64,8,247424,36612384,14976,9,228,"192 raw thermometer bits retained; Top-K values collapse to one majority bit; 4,326,400 fixed XNOR and 4,259,840 value-count inputs/sample"
bitstate_progressive,w8192_d2d2,192,192,8192,1,8192,65,8,64,8,,,27264,9,429,"width doubles but literal ratio increases to 93.98 percent"
bitstate_count_token,w4096_d2d2_count_global,192,192,4096,1,4096,65,8,64,8,,,14976,9,228,"learned count threshold only for the initial global token"
full_discrete_a8,d6e192,384,,192,8,1536,65,6,224,8,3562752,,,6,768,"A8 state retains 256 levels per channel; dense fan-in max 768 and structural fanout upper bound 768"
full_discrete_a8,d12e192,384,,192,8,1536,65,6,224,8,7101696,681822688,,12,768,"76.10% full strict replay; schema-v6 audit payload stores redundant code/sign/plane/chunk forms; logical bit-packed weights are 56,712,192 bits; depth is not synthesized gate depth"
