method,dataset,seed,soft_acc,discrete_acc,acc_gap,soft_loss,discrete_loss,loss_gap,path_soft_acc,path_discrete_acc,path_acc_gap,path_soft_loss,path_discrete_loss,path_loss_gap,train_time,epochs_to_target,time_to_target,unused_gate_ratio,gate_count,depth,fanout_max,soft_inference_samples_per_sec,discrete_inference_samples_per_sec,inference_bench_repeats,activation_inactive_gate_ratio,hard_runtime_domain,hard_runtime_audit_operations,hard_runtime_floating_tensor_count
dlgn,parity6,0,0.25,0.5,0.25,0.8425964117050171,1.3213924169540405,0.47879600524902344,0.25,0.5,0.25,0.8425964117050171,1.3213924169540405,0.47879600524902344,1.032991530984873,-1,-1.0,0.9270833333333334,96,3,11,nan,nan,0,0.19791666666666666,bool_int,30,0
gumbel_st,parity6,0,0.25,0.3125,0.0625,1.258937120437622,2.187866687774658,0.9289295673370361,0.25,0.3125,0.0625,1.258937120437622,2.187866687774658,0.9289295673370361,0.33211581100476906,-1,-1.0,0.9583333333333334,96,3,11,nan,nan,0,0.23958333333333334,bool_int,30,0
block_relaxed,parity6,0,0.25,0.4375,0.1875,0.7850425839424133,1.2766345739364624,0.4915919899940491,0.25,0.4375,0.1875,0.7850425839424133,1.2766345739364624,0.4915919899940491,0.049912963004317135,-1,-1.0,0.9479166666666666,96,3,11,nan,nan,0,0.20833333333333334,bool_int,30,0
block_hard_refit,parity6,0,0.25,0.6875,0.4375,0.7754390239715576,1.0617754459381104,0.28633642196655273,0.6875,0.6875,0.0,0.6912749409675598,1.0617754459381104,0.37050050497055054,0.08403105501201935,-1,-1.0,0.9479166666666666,96,3,11,nan,nan,0,0.1875,bool_int,30,0
dlgn,majority7,0,0.65625,0.53125,0.125,0.6623902320861816,0.9896286129951477,0.32723838090896606,0.65625,0.53125,0.125,0.6623902320861816,0.9896286129951477,0.32723838090896606,0.21956768198288046,-1,-1.0,0.9583333333333334,96,3,10,nan,nan,0,0.3541666666666667,bool_int,30,0
gumbel_st,majority7,0,0.5625,0.46875,0.09375,0.7170262336730957,1.2532366514205933,0.5362104177474976,0.5625,0.46875,0.09375,0.7170262336730957,1.2532366514205933,0.5362104177474976,0.3023584200127516,-1,-1.0,0.9791666666666666,96,3,10,nan,nan,0,0.3020833333333333,bool_int,30,0
block_relaxed,majority7,0,0.5,0.46875,0.03125,0.698256254196167,1.388694167137146,0.690437912940979,0.5,0.46875,0.03125,0.698256254196167,1.388694167137146,0.690437912940979,0.05707536300178617,-1,-1.0,0.9583333333333334,96,3,10,nan,nan,0,0.3125,bool_int,30,0
block_hard_refit,majority7,0,0.5,0.40625,0.09375,0.7103277444839478,1.34517240524292,0.6348446607589722,0.46875,0.40625,0.0625,0.6765813827514648,1.34517240524292,0.6685910224914551,0.0678587899892591,-1,-1.0,0.9583333333333334,96,3,10,nan,nan,0,0.3541666666666667,bool_int,30,0
dlgn,random_sparse8,0,0.734375,0.5625,0.171875,0.6420890092849731,1.2675520181655884,0.6254630088806152,0.734375,0.5625,0.171875,0.6420890092849731,1.2675520181655884,0.6254630088806152,0.3271717609895859,-1,-1.0,0.9479166666666666,96,3,8,nan,nan,0,0.09375,bool_int,30,0
gumbel_st,random_sparse8,0,0.328125,0.3125,0.015625,1.0996266603469849,2.4699158668518066,1.3702892065048218,0.328125,0.3125,0.015625,1.0996266603469849,2.4699158668518066,1.3702892065048218,0.29674469301244244,-1,-1.0,0.96875,96,3,8,nan,nan,0,0.10416666666666667,bool_int,30,0
block_relaxed,random_sparse8,0,0.671875,0.34375,0.328125,0.6832765340805054,1.5591193437576294,0.875842809677124,0.671875,0.34375,0.328125,0.6832765340805054,1.5591193437576294,0.875842809677124,0.07699813501676545,-1,-1.0,0.96875,96,3,8,nan,nan,0,0.1875,bool_int,30,0
block_hard_refit,random_sparse8,0,0.421875,0.703125,0.28125,0.6946789026260376,0.7727651000022888,0.07808619737625122,0.703125,0.703125,0.0,0.6518785953521729,0.7727651000022888,0.12088650465011597,0.08120335702551529,-1,-1.0,0.96875,96,3,8,nan,nan,0,0.15625,bool_int,30,0
