block,epoch,train_loss,train_task_loss,train_code_loss,train_constraint_loss,train_hard_acc,temperature,next_learning_rate,unclipped_gradient_l2_max,validation_soft_acc,validation_hard_acc,validation_acc_gap,validation_soft_loss,validation_hard_loss,validation_loss_gap,elapsed_seconds
0,1,3.2113160913085936,3.007912872772217,0.45997577315330507,88.40926233032226,0.21294,1.5,0.02982455885348071,0.03243476152420044,0.227,0.2521,0.025099999999999983,3.544635620880127,2.7959526260375975,0.7486829948425293,148.68439284601482
0,2,2.8854218705749513,2.741007538986206,0.43876353860855105,34.723443994140624,0.25948,1.4157273236789423,0.02930255535720594,0.015528295189142227,0.24855,0.27035,0.021799999999999986,3.2313935989379883,2.730272267150879,0.5011213317871093,296.4867734760046
0,3,2.8214618880462647,2.6841830448913573,0.4309918825531006,29.530863451538085,0.27494,1.3361892366740935,0.028446842969684243,0.014809656888246536,0.25805,0.2739,0.015849999999999975,3.0406283256530764,2.7056933383941653,0.33493498725891113,444.08477656100877
0,4,2.790932855758667,2.656348801803589,0.42613337577819826,28.050711967773438,0.28051,1.2611197413101487,0.027278492169843002,0.015304426662623882,0.26245,0.27445,0.01200000000000001,2.9270652473449705,2.6812099464416503,0.2458553009033202,591.5632720110007
0,5,2.7636215354919433,2.6297484159088134,0.4239741427230835,27.879580946655274,0.28764,1.190267784135798,0.0258262716319083,0.016082117334008217,0.2677,0.2821,0.014400000000000024,2.8499651287078858,2.6702455200195314,0.17971960868835435,739.4397742240108
0,6,2.7459213259887694,2.6126114695739746,0.42076135614395144,28.119510141601562,0.29123,1.1233964163305585,0.024125939845167744,0.016603771597146988,0.2729,0.29,0.017100000000000004,2.79494893951416,2.6562477661132813,0.13870117340087873,887.0489603190217
0,7,2.730281594696045,2.597214341430664,0.4190703199291229,28.29967354248047,0.29723,1.0602820012814511,0.022219364621288543,0.01720929704606533,0.27765,0.28535,0.007699999999999985,2.7576964942932127,2.655188317489624,0.10250817680358892,1034.7354649570188
0,8,2.7183297899627687,2.5856164185333252,0.41699866985321044,28.46370883605957,0.29731,1.0007134666794277,0.020153492169843003,0.018481047824025154,0.28265,0.2889,0.006249999999999978,2.7286328567504885,2.647970854949951,0.08066200180053729,1182.3043822909822
0,9,2.7084553599548338,2.575876253967285,0.41581540674209594,28.62526178527832,0.29942,0.9444915986343616,0.017979191126823293,0.01828075759112835,0.28485,0.2923,0.007450000000000012,2.7109907684326173,2.6473262050628663,0.06366456336975101,1329.9139327690355
0,10,2.6965840347290038,2.5640900061798098,0.41466536631584167,28.827681208496095,0.30274,0.8914283754479135,0.01575,0.020271725952625275,0.2873,0.29225,0.00495000000000001,2.693915232849121,2.6459839637756346,0.04793126907348633,1477.3806775620324
